# Wavelength [nm]	Power [dBm]
1505.5200000000	-65.9267089000
1505.5220000000	-65.7148134000
1505.5240000000	-65.4861263000
1505.5260000000	-64.9443013000
1505.5280000000	-64.3208426000
1505.5300000000	-64.1075396000
1505.5320000000	-64.3368683000
1505.5340000000	-64.7616748000
1505.5360000000	-65.0707591000
1505.5380000000	-64.8934496000
1505.5400000000	-64.2932546000
1505.5420000000	-63.8103359000
1505.5440000000	-63.8378414000
1505.5460000000	-64.2843514000
1505.5480000000	-64.5894490000
1505.5500000000	-64.3678378000
1505.5520000000	-63.8856504000
1505.5540000000	-63.7185025000
1505.5560000000	-64.1965548000
1505.5580000000	-65.3013111000
1505.5600000000	-66.5910454000
1505.5620000000	-66.9867799000
1505.5640000000	-66.4546906000
1505.5660000000	-66.0066934000
1505.5680000000	-65.8789931000
1505.5700000000	-65.9275831000
1505.5720000000	-65.9881262000
1505.5740000000	-65.7161784000
1505.5760000000	-65.2333197000
1505.5780000000	-65.0291553000
1505.5800000000	-65.1574697000
1505.5820000000	-65.4017195000
1505.5840000000	-65.6051837000
1505.5860000000	-65.7703223000
1505.5880000000	-65.9554596000
1505.5900000000	-66.2279433000
1505.5920000000	-66.5312109000
1505.5940000000	-66.5233392000
1505.5960000000	-65.9558964000
1505.5980000000	-65.1151267000
1505.6000000000	-64.5521220000
1505.6020000000	-64.5085801000
1505.6040000000	-64.8815097000
1505.6060000000	-65.5605101000
1505.6080000000	-65.9509167000
1505.6100000000	-65.6075099000
1505.6120000000	-65.0357511000
1505.6140000000	-64.6215358000
1505.6160000000	-64.5019887000
1505.6180000000	-64.5875421000
1505.6200000000	-64.7595002000
1505.6220000000	-64.7356992000
1505.6240000000	-64.3838025000
1505.6260000000	-64.0489398000
1505.6280000000	-64.0070485000
1505.6300000000	-64.2362006000
1505.6320000000	-64.6160134000
1505.6340000000	-64.8262707000
1505.6360000000	-64.4867007000
1505.6380000000	-63.9288126000
1505.6400000000	-63.6368064000
1505.6420000000	-63.6363832000
1505.6440000000	-63.6978461000
1505.6460000000	-63.5452907000
1505.6480000000	-63.0839675000
1505.6500000000	-62.6296720000
1505.6520000000	-62.4911860000
1505.6540000000	-62.6781318000
1505.6560000000	-62.9879509000
1505.6580000000	-63.1279308000
1505.6600000000	-62.9681388000
1505.6620000000	-62.6799740000
1505.6640000000	-62.5010288000
1505.6660000000	-62.6081018000
1505.6680000000	-62.9215153000
1505.6700000000	-63.1404912000
1505.6720000000	-63.1550489000
1505.6740000000	-63.0711441000
1505.6760000000	-63.0424100000
1505.6780000000	-63.2603924000
1505.6800000000	-63.7439851000
1505.6820000000	-64.1375732000
1505.6840000000	-64.1572422000
1505.6860000000	-63.9269979000
1505.6880000000	-63.7980537000
1505.6900000000	-64.0324359000
1505.6920000000	-64.5710394000
1505.6940000000	-64.9897165000
1505.6960000000	-64.9196683000
1505.6980000000	-64.5493291000
1505.7000000000	-64.2250424000
1505.7020000000	-64.0075945000
1505.7040000000	-64.0198212000
1505.7060000000	-64.3685141000
1505.7080000000	-64.7506931000
1505.7100000000	-64.8112335000
1505.7120000000	-64.7450243000
1505.7140000000	-64.8519110000
1505.7160000000	-65.1426163000
1505.7180000000	-65.6888118000
1505.7200000000	-66.4774188000
1505.7220000000	-67.2308730000
1505.7240000000	-67.7621877000
1505.7260000000	-68.3170965000
1505.7280000000	-68.7806194000
1505.7300000000	-68.8720852000
1505.7320000000	-68.9749103000
1505.7340000000	-68.9552173000
1505.7360000000	-68.7983061000
1505.7380000000	-68.7357963000
1505.7400000000	-68.5408442000
1505.7420000000	-68.2467675000
1505.7440000000	-67.8604956000
1505.7460000000	-67.4021374000
1505.7480000000	-67.1981130000
1505.7500000000	-67.4095036000
1505.7520000000	-67.7771052000
1505.7540000000	-67.7903202000
1505.7560000000	-67.2523945000
1505.7580000000	-66.5114416000
1505.7600000000	-65.9379549000
1505.7620000000	-65.7256625000
1505.7640000000	-65.8206599000
1505.7660000000	-66.0911691000
1505.7680000000	-66.3412148000
1505.7700000000	-66.3088330000
1505.7720000000	-66.2694875000
1505.7740000000	-66.5497606000
1505.7760000000	-66.9498372000
1505.7780000000	-67.1854229000
1505.7800000000	-67.3179458000
1505.7820000000	-67.4117727000
1505.7840000000	-67.3794203000
1505.7860000000	-67.1346737000
1505.7880000000	-66.6121017000
1505.7900000000	-65.9542516000
1505.7920000000	-65.5063504000
1505.7940000000	-65.3984654000
1505.7960000000	-65.4764079000
1505.7980000000	-65.7360846000
1505.8000000000	-66.0915003000
1505.8020000000	-66.1444566000
1505.8040000000	-65.9864691000
1505.8060000000	-65.6465892000
1505.8080000000	-65.2920398000
1505.8100000000	-65.2009003000
1505.8120000000	-65.3681546000
1505.8140000000	-65.9913245000
1505.8160000000	-67.0308098000
1505.8180000000	-67.9210486000
1505.8200000000	-67.9708355000
1505.8220000000	-67.3395303000
1505.8240000000	-66.8006040000
1505.8260000000	-66.7438259000
1505.8280000000	-67.0715216000
1505.8300000000	-67.2355556000
1505.8320000000	-66.8986978000
1505.8340000000	-66.6190173000
1505.8360000000	-66.9622455000
1505.8380000000	-68.0483725000
1505.8400000000	-69.3616377000
1505.8420000000	-69.8304146000
1505.8440000000	-69.2303077000
1505.8460000000	-68.3749245000
1505.8480000000	-68.3733435000
1505.8500000000	-69.4234809000
1505.8520000000	-70.9023672000
1505.8540000000	-71.7488622000
1505.8560000000	-70.7586463000
1505.8580000000	-69.3474995000
1505.8600000000	-69.0831830000
1505.8620000000	-70.3739667000
1505.8640000000	-72.9276549000
1505.8660000000	-74.3096178000
1505.8680000000	-72.9616592000
1505.8700000000	-71.3243383000
1505.8720000000	-70.5282330000
1505.8740000000	-71.3552936000
1505.8760000000	-75.2487696000
1505.8780000000	-100.0000000000
1505.8800000000	-100.0000000000
1505.8820000000	-76.6487014000
1505.8840000000	-72.8651093000
1505.8860000000	-71.5992134000
1505.8880000000	-71.1402478000
1505.8900000000	-70.9605307000
1505.8920000000	-71.0124291000
1505.8940000000	-71.3134088000
1505.8960000000	-71.5418933000
1505.8980000000	-71.5279154000
1505.9000000000	-71.6899282000
1505.9020000000	-72.5294711000
1505.9040000000	-73.2041216000
1505.9060000000	-71.9956124000
