# Wavelength [nm]	Power [dBm]
1530.8120000000	-80.6678826000
1530.8140000000	-80.1244197000
1530.8160000000	-79.7453645000
1530.8180000000	-79.9646344000
1530.8200000000	-79.9900315000
1530.8220000000	-79.8010847000
1530.8240000000	-80.0078668000
1530.8260000000	-80.7346926000
1530.8280000000	-81.0908483000
1530.8300000000	-80.8103956000
1530.8320000000	-80.5541776000
1530.8340000000	-80.4957098000
1530.8360000000	-80.5559458000
1530.8380000000	-80.6891805000
1530.8400000000	-80.5210918000
1530.8420000000	-80.0888537000
1530.8440000000	-80.0259352000
1530.8460000000	-80.2175285000
1530.8480000000	-80.5846148000
1530.8500000000	-81.6811090000
1530.8520000000	-82.9583249000
1530.8540000000	-83.5483443000
1530.8560000000	-85.1722228000
1530.8580000000	-90.7522852000
1530.8600000000	-100.0000000000
1530.8620000000	-100.0000000000
1530.8640000000	-100.0000000000
1530.8660000000	-100.0000000000
1530.8680000000	-100.0000000000
1530.8700000000	-100.0000000000
1530.8720000000	-100.0000000000
1530.8740000000	-100.0000000000
1530.8760000000	-100.0000000000
1530.8780000000	-100.0000000000
1530.8800000000	-100.0000000000
1530.8820000000	-100.0000000000
1530.8840000000	-100.0000000000
1530.8860000000	-100.0000000000
1530.8880000000	-100.0000000000
1530.8900000000	-100.0000000000
1530.8920000000	-100.0000000000
1530.8940000000	-100.0000000000
1530.8960000000	-100.0000000000
1530.8980000000	-100.0000000000
1530.9000000000	-100.0000000000
1530.9020000000	-91.2107440000
1530.9040000000	-93.0863071000
1530.9060000000	-91.0974053000
1530.9080000000	-85.0487915000
1530.9100000000	-83.1552898000
1530.9120000000	-82.9344696000
1530.9140000000	-83.3546579000
1530.9160000000	-83.2550126000
1530.9180000000	-82.4494610000
1530.9200000000	-81.6781363000
1530.9220000000	-81.5966180000
1530.9240000000	-81.6220576000
1530.9260000000	-81.6635189000
1530.9280000000	-81.6087402000
1530.9300000000	-81.5413148000
1530.9320000000	-82.1253861000
1530.9340000000	-83.1692920000
1530.9360000000	-84.1649362000
1530.9380000000	-84.3447812000
1530.9400000000	-85.1480063000
1530.9420000000	-86.5190830000
1530.9440000000	-87.0360838000
1530.9460000000	-84.9812832000
1530.9480000000	-83.7629424000
1530.9500000000	-84.0119323000
1530.9520000000	-84.8172387000
1530.9540000000	-85.2143465000
1530.9560000000	-84.5076236000
1530.9580000000	-85.5171857000
1530.9600000000	-89.6733266000
1530.9620000000	-100.0000000000
1530.9640000000	-100.0000000000
1530.9660000000	-100.0000000000
1530.9680000000	-100.0000000000
1530.9700000000	-100.0000000000
1530.9720000000	-100.0000000000
1530.9740000000	-100.0000000000
1530.9760000000	-100.0000000000
1530.9780000000	-100.0000000000
1530.9800000000	-100.0000000000
1530.9820000000	-100.0000000000
1530.9840000000	-100.0000000000
1530.9860000000	-93.6218870000
1530.9880000000	-86.3440974000
1530.9900000000	-85.0344426000
1530.9920000000	-85.5461312000
1530.9940000000	-86.7449116000
1530.9960000000	-86.9733663000
1530.9980000000	-88.3349355000
1531.0000000000	-88.2356233000
1531.0020000000	-87.7507969000
1531.0040000000	-88.8420003000
1531.0060000000	-100.0000000000
1531.0080000000	-100.0000000000
1531.0100000000	-100.0000000000
1531.0120000000	-100.0000000000
1531.0140000000	-100.0000000000
1531.0160000000	-100.0000000000
1531.0180000000	-100.0000000000
1531.0200000000	-100.0000000000
1531.0220000000	-94.0464343000
1531.0240000000	-87.6396308000
1531.0260000000	-87.8855126000
1531.0280000000	-94.6645014000
1531.0300000000	-100.0000000000
1531.0320000000	-100.0000000000
1531.0340000000	-100.0000000000
1531.0360000000	-94.3244397000
1531.0380000000	-95.4226466000
1531.0400000000	-99.8135220000
1531.0420000000	-100.0000000000
1531.0440000000	-100.0000000000
1531.0460000000	-100.0000000000
1531.0480000000	-100.0000000000
1531.0500000000	-100.0000000000
1531.0520000000	-100.0000000000
1531.0540000000	-100.0000000000
1531.0560000000	-95.7812861000
1531.0580000000	-87.3700219000
1531.0600000000	-85.9774561000
1531.0620000000	-84.0408199000
1531.0640000000	-82.7058654000
1531.0660000000	-83.1783372000
1531.0680000000	-84.2611895000
1531.0700000000	-85.2081210000
1531.0720000000	-86.1478718000
1531.0740000000	-89.4621221000
1531.0760000000	-89.9167817000
1531.0780000000	-86.5970008000
1531.0800000000	-84.9387668000
1531.0820000000	-85.4462238000
1531.0840000000	-87.4261041000
1531.0860000000	-89.3600872000
1531.0880000000	-91.8077949000
1531.0900000000	-96.9623488000
1531.0920000000	-89.8244671000
1531.0940000000	-84.8461647000
1531.0960000000	-83.4225752000
1531.0980000000	-83.3260604000
1531.1000000000	-83.0294637000
1531.1020000000	-82.8550898000
1531.1040000000	-83.0474216000
1531.1060000000	-83.6522960000
1531.1080000000	-84.2110613000
1531.1100000000	-83.4240044000
1531.1120000000	-83.1546429000
1531.1140000000	-83.7291030000
1531.1160000000	-83.0189080000
1531.1180000000	-81.8486521000
1531.1200000000	-81.3804416000
1531.1220000000	-81.4405663000
1531.1240000000	-80.8541378000
1531.1260000000	-80.9478954000
1531.1280000000	-81.8805662000
1531.1300000000	-82.3078969000
1531.1320000000	-81.7943324000
1531.1340000000	-81.5775011000
1531.1360000000	-82.1183791000
1531.1380000000	-82.1711297000
1531.1400000000	-81.6180610000
1531.1420000000	-81.5211623000
1531.1440000000	-82.0214232000
1531.1460000000	-82.2097322000
1531.1480000000	-82.8842206000
1531.1500000000	-84.9314722000
1531.1520000000	-86.6491606000
1531.1540000000	-87.4202825000
1531.1560000000	-89.0140369000
1531.1580000000	-88.7788650000
1531.1600000000	-88.9967247000
1531.1620000000	-90.7582725000
1531.1640000000	-89.4850783000
1531.1660000000	-88.3219313000
1531.1680000000	-100.0000000000
1531.1700000000	-100.0000000000
1531.1720000000	-100.0000000000
1531.1740000000	-100.0000000000
1531.1760000000	-100.0000000000
1531.1780000000	-100.0000000000
1531.1800000000	-100.0000000000
1531.1820000000	-100.0000000000
1531.1840000000	-100.0000000000
1531.1860000000	-100.0000000000
1531.1880000000	-100.0000000000
1531.1900000000	-100.0000000000
1531.1920000000	-100.0000000000
1531.1940000000	-100.0000000000
